ExperimentNumber,ColonyID,Size,MinorAxisLength,Eccentricity,MeanIntensity,Radius,Type
1,58,27,4.52855474390593,0.819218761588659,0.603449171471612,2.93161507141752,3
1,59,97,10.1669279160219,0.566123286390694,0.710400370150808,5.55662298161641,3
1,60,85,9.09687419208285,0.665217919275517,0.665687649533867,5.2015709478601,3
1,61,15,4.18887415264134,0.475270820628804,0.673492286115007,2.18509686118416,3
1,62,69,5.96638772320333,0.930682116299127,0.638026708945668,4.6865106579076,3
1,63,104,10.1220184333907,0.665439879322413,0.761597799115331,5.75362739175159,3
1,64,97,9.9670275033127,0.618102737741643,0.657277945663018,5.55662298161641,3
1,65,91,9.80524012196347,0.590056164629974,0.734183067983909,5.38202560777306,3
1,66,65,6.42957964538976,0.8766628763921,0.67873557018017,4.54864184146723,3
1,67,48,6.15176710859631,0.797466848378733,0.586547452080411,3.90882009522336,3
1,68,54,7.80326236998359,0.498838301349214,0.751960937094177,4.14592979365603,3
1,69,91,9.00946896299351,0.72464851655262,0.631968312192716,5.38202560777306,3
1,70,85,8.35175270132513,0.772683929901961,0.660770563484861,5.2015709478601,3
1,71,31,6.27776524370588,0.25309055459395,0.627064199429942,3.14127465715711,3
1,72,29,5.62052170324205,0.567607113912866,0.643130047879286,3.03825388987325,3
1,73,71,8.57459612536486,0.596744238136964,0.672401872666575,4.75394593143939,3
1,74,55,8.27727107302448,0.267907859978626,0.639372689022058,4.184141935942,3
1,75,31,5.45423658289053,0.683731373960521,0.661267701217029,3.14127465715711,3
1,76,33,6.33413073130103,0.357442180724222,0.734030345531047,3.24102240721429,3
1,77,100,11.0797084994995,0.329219252263863,0.614081346423563,5.64189583547756,3
1,78,22,4.74879221911267,0.630166852548983,0.627119724595181,2.64628371420061,3
1,79,103,8.83282929488973,0.837862097364611,0.731028472609921,5.72589890558072,3
1,80,73,7.459996850752,0.813399165945554,0.633595265999347,4.82043791490117,3
1,81,80,7.9657298218748,0.786577665116837,0.597703366058906,5.04626504404032,3
1,82,118,11.7761879260865,0.429653807413355,0.751907671096109,6.12866760150094,3
1,83,91,9.98964640041461,0.526594052147893,0.718246690196199,5.38202560777306,3
1,84,84,9.77892304051948,0.471246922263511,0.688589461029854,5.17088294582641,3
1,85,23,5.48331949558032,0.125858163044162,0.54820415879017,2.705758189903,3
1,86,10,2.92118697336089,0.764470787156438,0.760729312762973,1.78412411615277,3
1,87,114,11.4486231569421,0.447875356100769,0.686068256194483,6.02389633252035,3
1,88,88,8.84862972461043,0.742166970149951,0.712498406222109,5.29256742840123,3
1,89,93,9.71942769946725,0.616931492940639,0.622720897615708,5.44084730672462,3
1,90,89,9.6818297710379,0.583752752163809,0.702255070362608,5.3225538860924,3
1,91,114,9.94120663155733,0.740887228987495,0.648003247951576,6.02389633252035,3
1,92,44,7.07156728730761,0.486971172635343,0.655616473288283,3.74241031850956,3
1,93,68,8.31176431835707,0.620536263026276,0.689897698209719,4.65242649168128,3
1,94,103,10.4878636458576,0.567008537094399,0.68063290622149,5.72589890558072,3
1,95,21,4.51452681694908,0.686960984084631,0.776798236826287,2.5854414729132,3
1,96,74,8.24404177320544,0.702835966687769,0.693226185512301,4.85334230995512,3
1,97,56,7.60596339549542,0.609107168693643,0.707298136645963,4.22200824564475,3
1,98,36,5.17269473197937,0.82084193895993,0.649992208196977,3.38513750128654,3
1,99,45,5.9415141078818,0.798703015614629,0.71207729468599,3.78469878303024,3
1,100,36,6.01067210390867,0.641759619797385,0.689769362630513,3.38513750128654,3
1,101,32,6.08827607396882,0.463215566153198,0.637403576437588,3.19153824321146,3
1,102,81,8.11773292982483,0.774642700820274,0.681713504060395,5.07770625192981,3
